Memory (MB),CPU Usage (%),CPU Time
Memory: 74 MB, CPU Usage: 1.9%, CPU Time: 00:14
Memory: 74 MB, CPU Usage: 1.8%, CPU Time: 00:15
Memory: 74 MB, CPU Usage: 1.6%, CPU Time: 00:17
Memory: 74 MB, CPU Usage: 1.5%, CPU Time: 00:18
Memory: 74 MB, CPU Usage: 1.5%, CPU Time: 00:19
Memory: 75 MB, CPU Usage: 2.7%, CPU Time: 00:20
Memory: 75 MB, CPU Usage: 5.3%, CPU Time: 00:21
Memory: 77 MB, CPU Usage: 7.8%, CPU Time: 00:22
Memory: 77 MB, CPU Usage: 9.7%, CPU Time: 00:23
Memory: 78 MB, CPU Usage: 11.5%, CPU Time: 00:24
Memory: 78 MB, CPU Usage: 13.4%, CPU Time: 00:25
Memory: 78 MB, CPU Usage: 15.1%, CPU Time: 00:26
Memory: 79 MB, CPU Usage: 16.5%, CPU Time: 00:27
Memory: 78 MB, CPU Usage: 18.0%, CPU Time: 00:28
Memory: 79 MB, CPU Usage: 19.5%, CPU Time: 00:29
Memory: 80 MB, CPU Usage: 20.8%, CPU Time: 00:30
Memory: 82 MB, CPU Usage: 22.0%, CPU Time: 00:31
Memory: 82 MB, CPU Usage: 23.0%, CPU Time: 00:32
Memory: 83 MB, CPU Usage: 24.1%, CPU Time: 00:33
Memory: 83 MB, CPU Usage: 25.1%, CPU Time: 00:34
Memory: 85 MB, CPU Usage: 26.0%, CPU Time: 00:35
Memory: 85 MB, CPU Usage: 27.0%, CPU Time: 00:36
Memory: 84 MB, CPU Usage: 27.9%, CPU Time: 00:38
Memory: 86 MB, CPU Usage: 28.7%, CPU Time: 00:39
Memory: 84 MB, CPU Usage: 29.5%, CPU Time: 00:40
Memory: 84 MB, CPU Usage: 30.2%, CPU Time: 00:41
Memory: 83 MB, CPU Usage: 30.9%, CPU Time: 00:42
Memory: 87 MB, CPU Usage: 31.6%, CPU Time: 00:43
Memory: 85 MB, CPU Usage: 32.3%, CPU Time: 00:44
Memory: 88 MB, CPU Usage: 32.9%, CPU Time: 00:45
Memory: 85 MB, CPU Usage: 33.5%, CPU Time: 00:46
Memory: 84 MB, CPU Usage: 34.0%, CPU Time: 00:47
Memory: 86 MB, CPU Usage: 34.6%, CPU Time: 00:48
Memory: 82 MB, CPU Usage: 35.2%, CPU Time: 00:49
Memory: 86 MB, CPU Usage: 35.7%, CPU Time: 00:50
