Memory (MB),CPU Usage (%),CPU Time
Memory: 74 MB, CPU Usage: 1.1%, CPU Time: 00:23
Memory: 74 MB, CPU Usage: 1.0%, CPU Time: 00:24
Memory: 74 MB, CPU Usage: 1.0%, CPU Time: 00:25
Memory: 74 MB, CPU Usage: 0.9%, CPU Time: 00:26
Memory: 75 MB, CPU Usage: 1.9%, CPU Time: 00:27
Memory: 75 MB, CPU Usage: 3.7%, CPU Time: 00:28
Memory: 75 MB, CPU Usage: 5.3%, CPU Time: 00:29
Memory: 75 MB, CPU Usage: 6.9%, CPU Time: 00:30
Memory: 75 MB, CPU Usage: 8.3%, CPU Time: 00:31
Memory: 75 MB, CPU Usage: 9.6%, CPU Time: 00:32
Memory: 75 MB, CPU Usage: 10.9%, CPU Time: 00:33
Memory: 75 MB, CPU Usage: 12.1%, CPU Time: 00:34
Memory: 75 MB, CPU Usage: 13.1%, CPU Time: 00:35
Memory: 75 MB, CPU Usage: 14.1%, CPU Time: 00:36
Memory: 75 MB, CPU Usage: 15.1%, CPU Time: 00:37
Memory: 75 MB, CPU Usage: 16.0%, CPU Time: 00:38
Memory: 75 MB, CPU Usage: 16.9%, CPU Time: 00:40
Memory: 75 MB, CPU Usage: 17.8%, CPU Time: 00:41
Memory: 76 MB, CPU Usage: 18.5%, CPU Time: 00:42
Memory: 76 MB, CPU Usage: 19.2%, CPU Time: 00:43
Memory: 76 MB, CPU Usage: 19.9%, CPU Time: 00:44
Memory: 76 MB, CPU Usage: 20.6%, CPU Time: 00:45
Memory: 76 MB, CPU Usage: 21.3%, CPU Time: 00:46
Memory: 76 MB, CPU Usage: 21.9%, CPU Time: 00:47
Memory: 76 MB, CPU Usage: 22.5%, CPU Time: 00:48
Memory: 76 MB, CPU Usage: 23.1%, CPU Time: 00:49
Memory: 76 MB, CPU Usage: 23.7%, CPU Time: 00:50
Memory: 76 MB, CPU Usage: 24.2%, CPU Time: 00:51
Memory: 76 MB, CPU Usage: 24.8%, CPU Time: 00:52
Memory: 76 MB, CPU Usage: 25.3%, CPU Time: 00:53
Memory: 76 MB, CPU Usage: 25.7%, CPU Time: 00:54
Memory: 76 MB, CPU Usage: 26.2%, CPU Time: 00:55
Memory: 76 MB, CPU Usage: 26.7%, CPU Time: 00:56
Memory: 76 MB, CPU Usage: 27.1%, CPU Time: 00:57
Memory: 76 MB, CPU Usage: 27.5%, CPU Time: 00:58
Memory: 76 MB, CPU Usage: 27.9%, CPU Time: 00:59
Memory: 76 MB, CPU Usage: 28.3%, CPU Time: 01:00
Memory: 76 MB, CPU Usage: 28.6%, CPU Time: 01:01
Memory: 76 MB, CPU Usage: 29.0%, CPU Time: 01:02
Memory: 76 MB, CPU Usage: 29.3%, CPU Time: 01:04
Memory: 75 MB, CPU Usage: 29.7%, CPU Time: 01:05
Memory: 76 MB, CPU Usage: 30.0%, CPU Time: 01:06
Memory: 76 MB, CPU Usage: 30.3%, CPU Time: 01:07
Memory: 76 MB, CPU Usage: 30.6%, CPU Time: 01:08
Memory: 76 MB, CPU Usage: 30.9%, CPU Time: 01:09
Memory: 76 MB, CPU Usage: 31.2%, CPU Time: 01:10
Memory: 76 MB, CPU Usage: 31.4%, CPU Time: 01:11
Memory: 76 MB, CPU Usage: 31.7%, CPU Time: 01:12
Memory: 77 MB, CPU Usage: 32.0%, CPU Time: 01:13
Memory: 77 MB, CPU Usage: 32.2%, CPU Time: 01:14
Memory: 77 MB, CPU Usage: 32.5%, CPU Time: 01:15
Memory: 77 MB, CPU Usage: 32.7%, CPU Time: 01:16
Memory: 77 MB, CPU Usage: 32.9%, CPU Time: 01:17
Memory: 77 MB, CPU Usage: 33.2%, CPU Time: 01:18
Memory: 77 MB, CPU Usage: 33.4%, CPU Time: 01:19
Memory: 77 MB, CPU Usage: 33.6%, CPU Time: 01:20
Memory: 77 MB, CPU Usage: 33.8%, CPU Time: 01:21
Memory: 77 MB, CPU Usage: 34.0%, CPU Time: 01:22
Memory: 77 MB, CPU Usage: 34.2%, CPU Time: 01:23
Memory: 77 MB, CPU Usage: 34.4%, CPU Time: 01:24
Memory: 77 MB, CPU Usage: 34.6%, CPU Time: 01:25
Memory: 77 MB, CPU Usage: 34.8%, CPU Time: 01:26
Memory: 78 MB, CPU Usage: 35.0%, CPU Time: 01:27
Memory: 78 MB, CPU Usage: 35.2%, CPU Time: 01:28
Memory: 77 MB, CPU Usage: 35.3%, CPU Time: 01:30
Memory: 78 MB, CPU Usage: 35.5%, CPU Time: 01:31
Memory: 78 MB, CPU Usage: 35.7%, CPU Time: 01:32
Memory: 78 MB, CPU Usage: 35.8%, CPU Time: 01:33
Memory: 78 MB, CPU Usage: 36.0%, CPU Time: 01:34
Memory: 77 MB, CPU Usage: 36.1%, CPU Time: 01:35
Memory: 78 MB, CPU Usage: 36.3%, CPU Time: 01:36
Memory: 78 MB, CPU Usage: 36.4%, CPU Time: 01:37
Memory: 78 MB, CPU Usage: 36.6%, CPU Time: 01:38
Memory: 78 MB, CPU Usage: 36.7%, CPU Time: 01:39
Memory: 78 MB, CPU Usage: 36.9%, CPU Time: 01:40
Memory: 78 MB, CPU Usage: 37.0%, CPU Time: 01:41
Memory: 78 MB, CPU Usage: 37.1%, CPU Time: 01:42
Memory: 78 MB, CPU Usage: 37.3%, CPU Time: 01:43
Memory: 78 MB, CPU Usage: 37.4%, CPU Time: 01:44
Memory: 78 MB, CPU Usage: 37.5%, CPU Time: 01:45
Memory: 78 MB, CPU Usage: 37.6%, CPU Time: 01:46
Memory: 78 MB, CPU Usage: 37.7%, CPU Time: 01:47
Memory: 78 MB, CPU Usage: 37.9%, CPU Time: 01:48
Memory: 78 MB, CPU Usage: 38.0%, CPU Time: 01:49
Memory: 78 MB, CPU Usage: 38.1%, CPU Time: 01:50
Memory: 78 MB, CPU Usage: 38.2%, CPU Time: 01:51
Memory: 78 MB, CPU Usage: 38.3%, CPU Time: 01:52
Memory: 78 MB, CPU Usage: 38.4%, CPU Time: 01:53
Memory: 78 MB, CPU Usage: 38.5%, CPU Time: 01:54
Memory: 78 MB, CPU Usage: 38.6%, CPU Time: 01:55
Memory: 79 MB, CPU Usage: 38.7%, CPU Time: 01:57
Memory: 78 MB, CPU Usage: 38.8%, CPU Time: 01:58
Memory: 79 MB, CPU Usage: 38.9%, CPU Time: 01:59
Memory: 79 MB, CPU Usage: 39.0%, CPU Time: 02:00
Memory: 77 MB, CPU Usage: 39.1%, CPU Time: 02:01
Memory: 77 MB, CPU Usage: 39.2%, CPU Time: 02:02
Memory: 77 MB, CPU Usage: 39.3%, CPU Time: 02:03
Memory: 77 MB, CPU Usage: 39.4%, CPU Time: 02:04
Memory: 77 MB, CPU Usage: 39.5%, CPU Time: 02:05
Memory: 77 MB, CPU Usage: 39.6%, CPU Time: 02:06
Memory: 77 MB, CPU Usage: 39.7%, CPU Time: 02:07
Memory: 77 MB, CPU Usage: 39.7%, CPU Time: 02:08
Memory: 77 MB, CPU Usage: 39.8%, CPU Time: 02:09
Memory: 77 MB, CPU Usage: 39.9%, CPU Time: 02:10
Memory: 77 MB, CPU Usage: 40.0%, CPU Time: 02:11
Memory: 77 MB, CPU Usage: 40.1%, CPU Time: 02:12
Memory: 77 MB, CPU Usage: 40.2%, CPU Time: 02:13
Memory: 77 MB, CPU Usage: 40.2%, CPU Time: 02:14
Memory: 77 MB, CPU Usage: 40.3%, CPU Time: 02:15
Memory: 77 MB, CPU Usage: 40.4%, CPU Time: 02:16
Memory: 77 MB, CPU Usage: 40.4%, CPU Time: 02:17
Memory: 77 MB, CPU Usage: 40.5%, CPU Time: 02:18
Memory: 77 MB, CPU Usage: 40.6%, CPU Time: 02:19
Memory: 77 MB, CPU Usage: 40.7%, CPU Time: 02:20
Memory: 77 MB, CPU Usage: 40.7%, CPU Time: 02:21
Memory: 77 MB, CPU Usage: 40.8%, CPU Time: 02:23
Memory: 77 MB, CPU Usage: 40.9%, CPU Time: 02:24
Memory: 77 MB, CPU Usage: 40.9%, CPU Time: 02:25
Memory: 78 MB, CPU Usage: 41.0%, CPU Time: 02:26
Memory: 78 MB, CPU Usage: 41.1%, CPU Time: 02:27
Memory: 78 MB, CPU Usage: 41.1%, CPU Time: 02:28
Memory: 78 MB, CPU Usage: 41.2%, CPU Time: 02:29
Memory: 78 MB, CPU Usage: 41.2%, CPU Time: 02:30
Memory: 78 MB, CPU Usage: 41.3%, CPU Time: 02:31
Memory: 78 MB, CPU Usage: 41.4%, CPU Time: 02:32
Memory: 78 MB, CPU Usage: 41.4%, CPU Time: 02:33
Memory: 78 MB, CPU Usage: 41.5%, CPU Time: 02:34
Memory: 78 MB, CPU Usage: 41.5%, CPU Time: 02:35
Memory: 78 MB, CPU Usage: 41.6%, CPU Time: 02:36
Memory: 78 MB, CPU Usage: 41.7%, CPU Time: 02:37
Memory: 78 MB, CPU Usage: 41.7%, CPU Time: 02:38
Memory: 78 MB, CPU Usage: 41.8%, CPU Time: 02:39
Memory: 79 MB, CPU Usage: 41.8%, CPU Time: 02:40
Memory: 79 MB, CPU Usage: 41.9%, CPU Time: 02:41
Memory: 79 MB, CPU Usage: 41.9%, CPU Time: 02:42
Memory: 79 MB, CPU Usage: 42.0%, CPU Time: 02:43
Memory: 79 MB, CPU Usage: 42.0%, CPU Time: 02:44
Memory: 79 MB, CPU Usage: 42.1%, CPU Time: 02:45
Memory: 79 MB, CPU Usage: 42.1%, CPU Time: 02:46
Memory: 79 MB, CPU Usage: 42.2%, CPU Time: 02:47
Memory: 79 MB, CPU Usage: 42.2%, CPU Time: 02:48
Memory: 79 MB, CPU Usage: 42.3%, CPU Time: 02:50
Memory: 79 MB, CPU Usage: 42.3%, CPU Time: 02:51
Memory: 79 MB, CPU Usage: 42.4%, CPU Time: 02:52
Memory: 79 MB, CPU Usage: 42.4%, CPU Time: 02:53
Memory: 79 MB, CPU Usage: 42.4%, CPU Time: 02:54
Memory: 79 MB, CPU Usage: 42.5%, CPU Time: 02:55
Memory: 79 MB, CPU Usage: 42.6%, CPU Time: 02:56
Memory: 79 MB, CPU Usage: 42.6%, CPU Time: 02:57
Memory: 79 MB, CPU Usage: 42.6%, CPU Time: 02:58
Memory: 80 MB, CPU Usage: 42.7%, CPU Time: 02:59
Memory: 80 MB, CPU Usage: 42.7%, CPU Time: 03:00
Memory: 80 MB, CPU Usage: 42.8%, CPU Time: 03:01
Memory: 79 MB, CPU Usage: 42.8%, CPU Time: 03:02
Memory: 79 MB, CPU Usage: 42.9%, CPU Time: 03:03
Memory: 80 MB, CPU Usage: 42.9%, CPU Time: 03:04
Memory: 79 MB, CPU Usage: 42.9%, CPU Time: 03:05
Memory: 79 MB, CPU Usage: 43.0%, CPU Time: 03:06
Memory: 80 MB, CPU Usage: 43.0%, CPU Time: 03:07
Memory: 80 MB, CPU Usage: 43.1%, CPU Time: 03:08
Memory: 80 MB, CPU Usage: 43.1%, CPU Time: 03:09
Memory: 80 MB, CPU Usage: 43.1%, CPU Time: 03:10
Memory: 80 MB, CPU Usage: 43.2%, CPU Time: 03:11
Memory: 79 MB, CPU Usage: 43.2%, CPU Time: 03:12
Memory: 80 MB, CPU Usage: 43.3%, CPU Time: 03:13
Memory: 80 MB, CPU Usage: 43.3%, CPU Time: 03:14
Memory: 80 MB, CPU Usage: 43.3%, CPU Time: 03:16
Memory: 79 MB, CPU Usage: 43.4%, CPU Time: 03:17
Memory: 80 MB, CPU Usage: 43.4%, CPU Time: 03:18
Memory: 80 MB, CPU Usage: 43.5%, CPU Time: 03:19
Memory: 80 MB, CPU Usage: 43.5%, CPU Time: 03:20
Memory: 80 MB, CPU Usage: 43.5%, CPU Time: 03:21
Memory: 80 MB, CPU Usage: 43.6%, CPU Time: 03:22
Memory: 80 MB, CPU Usage: 43.6%, CPU Time: 03:23
Memory: 80 MB, CPU Usage: 43.6%, CPU Time: 03:24
Memory: 79 MB, CPU Usage: 43.7%, CPU Time: 03:25
Memory: 80 MB, CPU Usage: 43.7%, CPU Time: 03:26
Memory: 80 MB, CPU Usage: 43.7%, CPU Time: 03:27
Memory: 80 MB, CPU Usage: 43.7%, CPU Time: 03:28
Memory: 80 MB, CPU Usage: 43.8%, CPU Time: 03:29
Memory: 80 MB, CPU Usage: 43.8%, CPU Time: 03:30
Memory: 80 MB, CPU Usage: 43.8%, CPU Time: 03:31
Memory: 80 MB, CPU Usage: 43.9%, CPU Time: 03:32
Memory: 79 MB, CPU Usage: 43.9%, CPU Time: 03:33
Memory: 80 MB, CPU Usage: 43.9%, CPU Time: 03:34
Memory: 80 MB, CPU Usage: 44.0%, CPU Time: 03:35
Memory: 80 MB, CPU Usage: 44.0%, CPU Time: 03:36
Memory: 80 MB, CPU Usage: 44.0%, CPU Time: 03:37
Memory: 80 MB, CPU Usage: 44.1%, CPU Time: 03:38
Memory: 80 MB, CPU Usage: 44.1%, CPU Time: 03:39
Memory: 80 MB, CPU Usage: 44.1%, CPU Time: 03:40
Memory: 80 MB, CPU Usage: 44.2%, CPU Time: 03:41
Memory: 80 MB, CPU Usage: 44.2%, CPU Time: 03:42
Memory: 79 MB, CPU Usage: 44.2%, CPU Time: 03:44
Memory: 81 MB, CPU Usage: 44.2%, CPU Time: 03:45
Memory: 81 MB, CPU Usage: 44.3%, CPU Time: 03:46
Memory: 80 MB, CPU Usage: 44.3%, CPU Time: 03:47
Memory: 80 MB, CPU Usage: 44.3%, CPU Time: 03:48
Memory: 79 MB, CPU Usage: 44.3%, CPU Time: 03:49
Memory: 81 MB, CPU Usage: 44.4%, CPU Time: 03:50
Memory: 80 MB, CPU Usage: 44.4%, CPU Time: 03:51
Memory: 80 MB, CPU Usage: 44.4%, CPU Time: 03:52
Memory: 79 MB, CPU Usage: 44.5%, CPU Time: 03:53
Memory: 81 MB, CPU Usage: 44.5%, CPU Time: 03:54
Memory: 81 MB, CPU Usage: 44.5%, CPU Time: 03:55
Memory: 81 MB, CPU Usage: 44.5%, CPU Time: 03:56
Memory: 80 MB, CPU Usage: 44.6%, CPU Time: 03:57
Memory: 80 MB, CPU Usage: 44.6%, CPU Time: 03:58
Memory: 81 MB, CPU Usage: 44.6%, CPU Time: 03:59
Memory: 81 MB, CPU Usage: 44.6%, CPU Time: 04:00
Memory: 81 MB, CPU Usage: 44.7%, CPU Time: 04:01
Memory: 81 MB, CPU Usage: 44.7%, CPU Time: 04:02
Memory: 81 MB, CPU Usage: 44.7%, CPU Time: 04:03
Memory: 81 MB, CPU Usage: 44.7%, CPU Time: 04:04
Memory: 81 MB, CPU Usage: 44.8%, CPU Time: 04:05
Memory: 81 MB, CPU Usage: 44.8%, CPU Time: 04:06
Memory: 81 MB, CPU Usage: 44.8%, CPU Time: 04:07
Memory: 81 MB, CPU Usage: 44.8%, CPU Time: 04:08
Memory: 81 MB, CPU Usage: 44.8%, CPU Time: 04:09
Memory: 81 MB, CPU Usage: 44.9%, CPU Time: 04:11
Memory: 81 MB, CPU Usage: 44.9%, CPU Time: 04:12
Memory: 82 MB, CPU Usage: 44.9%, CPU Time: 04:13
Memory: 81 MB, CPU Usage: 44.9%, CPU Time: 04:14
Memory: 81 MB, CPU Usage: 45.0%, CPU Time: 04:15
Memory: 81 MB, CPU Usage: 45.0%, CPU Time: 04:16
Memory: 81 MB, CPU Usage: 45.0%, CPU Time: 04:17
Memory: 81 MB, CPU Usage: 45.0%, CPU Time: 04:18
Memory: 81 MB, CPU Usage: 45.0%, CPU Time: 04:19
Memory: 80 MB, CPU Usage: 45.1%, CPU Time: 04:20
Memory: 80 MB, CPU Usage: 45.1%, CPU Time: 04:21
Memory: 80 MB, CPU Usage: 45.1%, CPU Time: 04:22
Memory: 81 MB, CPU Usage: 45.1%, CPU Time: 04:23
Memory: 81 MB, CPU Usage: 45.2%, CPU Time: 04:24
Memory: 81 MB, CPU Usage: 45.2%, CPU Time: 04:25
Memory: 81 MB, CPU Usage: 45.2%, CPU Time: 04:26
Memory: 81 MB, CPU Usage: 45.2%, CPU Time: 04:27
Memory: 81 MB, CPU Usage: 45.2%, CPU Time: 04:28
Memory: 81 MB, CPU Usage: 45.2%, CPU Time: 04:29
Memory: 81 MB, CPU Usage: 45.3%, CPU Time: 04:30
Memory: 81 MB, CPU Usage: 45.3%, CPU Time: 04:31
Memory: 81 MB, CPU Usage: 45.3%, CPU Time: 04:32
Memory: 81 MB, CPU Usage: 45.3%, CPU Time: 04:33
Memory: 81 MB, CPU Usage: 45.3%, CPU Time: 04:34
Memory: 81 MB, CPU Usage: 45.4%, CPU Time: 04:35
Memory: 81 MB, CPU Usage: 45.4%, CPU Time: 04:36
Memory: 81 MB, CPU Usage: 45.4%, CPU Time: 04:37
Memory: 82 MB, CPU Usage: 45.4%, CPU Time: 04:39
Memory: 82 MB, CPU Usage: 45.4%, CPU Time: 04:40
Memory: 82 MB, CPU Usage: 45.4%, CPU Time: 04:41
Memory: 82 MB, CPU Usage: 45.5%, CPU Time: 04:42
